company,website,niche,niche_status,verdict,reason
Magic Murals,magicmurals.com,Murals & Wallpaper,active,KEEP,"REVISED per ICP pivot (24 Aug) - already runs a customer-facing choose/upload/customize flow (stock library + POD + upload own art); exactly the surface an embeddable tool augments"
Eazywallz,eazywallz.com,Murals & Wallpaper,active,KEEP,"REVISED per ICP pivot - prints customer-supplied/chosen images to order; embeddable configurator fits their existing customer flow directly"
Murals Your Way,muralsyourway.com,Murals & Wallpaper,active,KEEP,"REVISED per ICP pivot - catalog + upload-your-own + personalize; already has the customer-choice step this tool would power"
WallpaperMural.com,wallpapermural.com,Murals & Wallpaper,active,KEEP,"REVISED per ICP pivot - explicit 'bespoke, made to measure' custom offering"
Wallsauce,wallsauce.com,Murals & Wallpaper,active,KEEP,"REVISED per ICP pivot - user's own tag already confirms it does custom work alongside catalog; revenue band 0-500K still worth confirming before enrichment spend"
Rebel Walls,rebelwalls.com,Murals & Wallpaper,active,NOT_FOUND,"Clay enrichment failed - needs manual site check"
MuralsWallpaper,hovia.com,Murals & Wallpaper,active,DROP,"Still drops under the revised ICP - description shows no custom-design offering at all, pure 'shop our wallpaper' catalog retail. Domain mismatch already flagged in master doc"
Great Wall Custom Coverings,greatwallcc.com,Murals & Wallpaper,active,NOT_FOUND,"Clay enrichment failed - needs manual site check"
Limitless Walls,limitlesswalls.com,Murals & Wallpaper,active,REVIEW,"No explicit customer-choice/custom-design language in text - focused on production/materials quality only. Confirm before deciding"
MegaPrint,megaprint.com,Murals & Wallpaper,active,KEEP,"REVISED per ICP pivot - explicit 'custom printed wallpaper' offering"
FinerWorks,finerworks.com,Murals & Wallpaper,active,KEEP,"REVISED per ICP pivot - customers already upload/choose their own images to print; exactly the customer-facing design step this tool powers"
Jovorie,jovorie.com,Murals & Wallpaper,active,NOT_FOUND,"Clay enrichment failed - needs manual site check"
Photowall,photowall.com,Murals & Wallpaper,active,KEEP,"REVISED per ICP pivot - has exclusive collections to choose from plus custom-fitted-to-dimensions; real customer-choice step despite retail framing"
Wallshoppe,wallshoppe.com,Murals & Wallpaper,active,DROP,"Still drops under the revised ICP - fixed catalog, no custom-design offering mentioned anywhere in text; revenue 500K-1M also below floor"
James & Colors,jamesandcolors.com,Murals & Wallpaper,active,NOT_FOUND,"Clay enrichment failed - needs manual site check"
Giffywalls,giffywalls.com,Murals & Wallpaper,active,KEEP,"REVISED per ICP pivot - explicit 'custom wallpaper' offering across many styles"
Fancy Walls,fancywalls.eu,Murals & Wallpaper,active,KEEP,"REVISED per ICP pivot - explicit custom-design-request path alongside catalog, small team"
Juju Papers,jujupapers.com,Murals & Wallpaper,active,NOT_FOUND,"Clay enrichment failed - needs manual site check"
Wall & Deco,wallanddeco.com,Murals & Wallpaper,active,KEEP,"Precedent-approved in master doc S7.3 - made-to-measure design house despite public parent company"
Glamora,glamora.it,Murals & Wallpaper,active,KEEP,"Precedent-approved in master doc S7.3 - bespoke wallcovering design house, major hospitality projects"
Inkiostro Bianco,inkiostrobianco.com,Murals & Wallpaper,active,KEEP,"Precedent-approved in master doc S7.3 - design-led wall coverings"
Instabilelab,instabilelab.com,Murals & Wallpaper,active,KEEP,"Precedent-approved in master doc S7.3 - artistic laboratory, personal interpretation per client"
Aqua Blu Mosaics,aquablumosaics.com,Mosaic/Pool,active,KEEP,"REVISED per ICP pivot - explicit 'custom mosaic design services' offering; retailer framing no longer disqualifying since a customer-facing design step already exists"
Mosaics Lab,mosaicslab.com,Mosaic/Pool,active,KEEP,"DUPLICATE resolved - already confirmed KEEP from Clay filter search pass 1; strongest analog to MEC itself; revenue 1M-5M clears floor"
Blue Water Pool Mosaics,poolmosaics.com,Mosaic/Pool,active,REVIEW,"No description available - needs manual site check"
New Ravenna,newravenna.com,Mosaic/Pool,active,KEEP,"Designer+manufacturer of custom stone/glass mosaics incorporating architect/client designs; former competitor-hold, cleared by Abdullah"
Hakatai Enterprises,hakatai.com,Mosaic/Pool,active,KEEP,"REVISED per ICP pivot - explicit 'custom mosaics' offering; importer/distributor framing no longer disqualifying on its own"
Oceanside Glasstile,oceansideglasstile.com,Mosaic/Pool,active,REVIEW,"KNOWN DATA ERROR still present in this export - enriched as GB/Banbury, actually Carlsbad CA (flagged in master doc S7.2). Fix location before gating"
Artistic Tile,artistictile.com,Mosaic/Pool,active,KEEP,"Genuine custom/design capability despite commodity stock; former competitor-hold, cleared by Abdullah"
Craig Bragdy Design,cbdpools.com,Mosaic/Pool,active,KEEP,"Original design + handmade mosaic production for luxury pools; domain mismatch already noted in master doc, not disqualifying"
Custom Mosaics Inc.,custommosaics.com,Mosaic/Pool,active,NOT_FOUND,"Clay enrichment failed - needs manual site check; name itself is promising"
Sicis,sicis.com,Mosaic/Pool,active,KEEP,"Hand-cut tesserae by mosaic masters, personalized/bespoke spaces despite scale"
Bisazza,bisazza.com,Mosaic/Pool,active,KEEP,"KNOWN DATA ERROR - Country field 'VI' is Vicenza province code, not Virgin Islands; correct to Italy. Precedent-approved in master doc S7.2"
Fireclay Tile,fireclaytile.com,Decorative/Artisan Tile,active,REVIEW,"Strong handmade/maker signal (B Corp, made in USA) but no explicit customer-choice/custom language in text given - confirm before deciding"
cle tile,cletile.com,Decorative/Artisan Tile,active,KEEP,"Design house sourcing/curating from global artisans - same structural model as Tiles of Ezra"
Tabarka Studio,tabarkastudio.com,Decorative/Artisan Tile,active,KEEP,"Flagship precedent example in master doc S7.3 - do not drop"
Country Floors,countryfloors.com,Decorative/Artisan Tile,active,KEEP,"Design+production+creative partnerships with explicit bespoke specification support for high-end projects"
Mercury Mosaics,mercurymosaics.com,Decorative/Artisan Tile,active,KEEP,"Boutique design+manufacturing studio, by-appointment design studio model"
Motawi Tileworks,motawi.com,Decorative/Artisan Tile,active,KEEP,"Handcrafted artisan tile with project design assistance"
Pratt & Larson,prattandlarson.com,Decorative/Artisan Tile,active,REVIEW,"Artisan/design-forward framing but no explicit customer-choice language in text given - confirm before deciding"
North Prairie Tileworks,handmadetile.com,Decorative/Artisan Tile,active,REVIEW,"Clay-generated filler description, no real content - domain name is a positive signal though"
Pewabic Pottery,pewabic.org,Decorative/Artisan Tile,active,DROP,"Still drops, but for a different reason under the revised ICP - nonprofit cultural institution (501c3), wrong buyer type for a paid commercial tool regardless of design offering"
Sonoma Tilemakers,sonomatilemakers.com,Decorative/Artisan Tile,active,KEEP,"Design+production+original products via exclusive showroom partnerships"
