"company","domain","domain_confidence","country","town","gate_flag","source","pre_flag","pre_flag_reason"
"A.S. Création Tapeten AG","as-creation.com","high","DE","Gummersbach","PASS priority","Heimtextil 2027","NEEDS EYES","PASS priority. Germany's youngest and one of Europe's largest wallpaper makers, founded 1974. Over 2,000 new designs a year, ~6,000 articles across ~80 collections. Already runs a room visualisation tool where a customer uploads a photo of their own room, so this is the S7.4 has-a-configurator hook, not a rejection, and it belongs in the S11 A/B cohort"
"Bankside Decor Ltd (Ohpopsi)","ohpopsi.com","high","GB","","PASS priority","Heimtextil 2027","NEEDS EYES","PASS priority. Ohpopsi is the trading brand of Bankside Decor. Bold wallpaper and large-scale wall murals designed by British designers and printed in the UK. Designs in house and sells made-to-order murals, which is criterion 1 and 3 together"
"Bar-On Studio","baron-studio.com","high","IL","Petah Tikva","PASS priority","Coverings 2027","NEEDS EYES","PASS priority. The best Coverings row on the list. Founded in Israel in 2010 by three brothers, family owned, and it BOTH designs and manufactures: sculptural concrete decorative wall coverings, curated concrete tiles, and tiles with integrated lighting, from its own Petah Tikva factory and showroom. Sells into the US since 2014 and through Ann Sacks since 2017, so it is trade-facing and already US-proven. Designs in house, makes in house, flat decorative wall surface, owner-operated"
"Driftwood Design Labs","driftwooddesignlab.com","high","US","","PASS priority","Coverings 2027","NEEDS EYES","PASS priority. A creative studio and a division of Lunada Bay Tile, Southern California. Own collections: Zel Moroccan zellige, Cotto Andaluz terracotta, Shoreline, with hand-painted and handcrafted elements. Designs original collections and makes them, which is the profile the ICP was written around. Note the competitor conflict: Lunada Bay is a tile and mosaic house, so this row takes the S7.9 walkthrough CTA with no link to MEC's tool"
"Dunis Studios","dunisstudios.com","high","US","Wimberley","PASS priority","TCNA","NEEDS EYES","PASS priority. Designs and manufactures its own lines and sells through tile showrooms, which is the to-the-trade signal. Handmade ceramic, glass, mosaic and brick, 10-12 step process, 30+ years. Strong fit."
"Esselle Retail Limited","esselleretail.com","high","GB","","PASS priority","Heimtextil 2027","NEEDS EYES","PASS priority. In-house design team, over 300 live wallpapers, and collections engineered to coordinate wallpaper with fabrics, blinds and rugs. Owns the Arthouse and Esselle Home brands. Coordinating four product categories off one pattern is exactly what a generative engine shortens"
"Jeffrey Court","jeffreycourt.com","high","US","Norco","PASS priority","Coverings 2027","NEEDS EYES","PASS priority. Started in 1991 by Jim and Janice Lawson as a HAND-PAINTED tile business and still describes itself as producing high-end decorative mosaic tile, 30+ years on, distributing nationally from Norco CA. Founder-led, decorative, mosaic. Competitor conflict with MEC, so walkthrough CTA, no tool link"
"LIVDEN","livden.com","high","US","San Diego","PASS priority","TCNA","NEEDS EYES","PASS priority. Designs its own line of 50+ tile designs on upcycled post-consumer terrazzo bases, 65-100% recycled, made in the US. Designs in house and sells made-to-order. Strong fit."
"Linden Workshops","lindenworkshops.com","high","US","Chicago","PASS priority","TCNA","NEEDS EYES","PASS priority. Three handmade art tile lines: Bronzework Studio, Foundry Art, Talisman. All made in the US, sold through fine tile specialty shops in North America, UK, Japan and Scandinavia. Bought and renamed in 2024, so a new owner is likely open to new tooling."
"Marburger Tapetenfabrik J.B. Schaefer GmbH & Co. KG","marburg.com","high","DE","Kirchhain","PASS priority","Heimtextil 2027","NEEDS EYES","PASS priority. One of Europe's oldest wallpaper makers, founded 1845, 290 employees, 100% made in Germany, and its collections are created by named international designers. Sells as Marburg Wallcoverings. Named-designer collections plus real scale is the strongest murals-side profile on this list"
"Maruman Shokai. Co., Ltd.","tile-maruman.com","high","JP","Tajimi","PASS priority","Coverings 2027","NEEDS EYES","PASS priority. Founded 1931 by Manzo Kato, incorporated 1957, in Tajimi, the centre of Japanese tile production. 65+ years making porcelain MOSAIC tile, 100% made in Japan, local mineral clays, natural glazes, 24-hour firing, with Majolica and Deco named lines. A real artisan mosaic maker with named collections. Competitor conflict with MEC, so walkthrough CTA"
"Mediterra Tile","mediterratile.com","high","US","Tumacacori","PASS priority","TCNA","NEEDS EYES","PASS priority. Design, fabrication and distribution of artisan tile and mosaic. Extensive glaze palette offered for fully custom tile, 4-8 week lead times. A long lead time with a custom glaze choice is exactly the approval-wait the tool shortens."
"Parato S.r.l. (Cristiana Masi)","parato.it","high","IT","Aprilia","PASS priority","Heimtextil 2027","NEEDS EYES","PASS priority. Creating wallpaper collections for international markets since 1985, 100% made in Italy. Cristiana Masi is an architect and the named creative behind every collection, which makes the design step both visible and owned by one decision maker. Small enough that the owner is the buyer"
"Quemere Designs","quemeredesigns.com","high","US","Middletown","PASS priority","TCNA","NEEDS EYES","PASS priority. Only handmade tile factory on the East Coast by its own claim, since 1987. 400+ shapes, 500+ glaze colours plus custom colours, every order custom glazed to one dye lot. The biggest combinatorial catalogue on this list and no configurator found. Best single TCNA candidate."
"The Wallfashion House NV","grandecogroup.com","high","BE","Tielt","PASS priority","Heimtextil 2027","NEEDS EYES","PASS priority. This is Grandeco Wallfashion Group, founded 1978, Europe's largest wallpaper producer: 20 million rolls a year in more than 1,000 designs, ~EUR 150M turnover, 600+ people across ten European sites, sold in 88 countries. A thousand new designs a year is the largest design throughput on the whole wave-2 list. PE-backed by GIMV and Down2Earth, so a long cycle, but the pain is real"
"ARTO Brick & Tile","arto.com","high","US","Los Angeles","PASS","TCNA","NEEDS EYES","PASS. Founded 1966 by Arto Alajian, run by sons Armen and Vod. About 80 people handcrafting concrete, terracotta and ceramic tile and brick on site."
"American Glass Mosaics","americanglassmosaics.com","high","US","Spring Lake","PASS","TCNA","NEEDS EYES","PASS. Only large-scale US glass tile maker using 100% recycled glass. Founded 2013. Own factory. Clean gate 3 pass."
"American Restoration Tile, Inc.","restorationtile.com","high","US","Little Rock","PASS","TCNA","NEEDS EYES","PASS. Custom historical tile reproduction, 1860s-1940s patterns. Does restoration AND new construction custom work, so it clears the restoration-only exclusion in S7.4."
"Hohenberger Manufaktur für Tapeten I Taubert GmbH & Co. KG","hohenberger-wallcoverings.com","high","DE","Hohenberg an der Eger","PASS","Heimtextil 2027","NEEDS EYES","PASS. Third-generation Bavarian wallpaper manufactory, ~90 years, produces only in Germany, PVC and plasticiser free. Runs both modern digital printing and traditional techniques, and digital printing is what makes short-run bespoke commercially possible"
"Images In Tile USA, Inc. dba Bison Coating & Supply","imagesintile.com","high","US","Joplin","PASS","TCNA","NEEDS EYES","PASS. Full TCNA name resolved: Images In Tile USA, Inc. dba Bison Coating & Supply. Two businesses, two domains. imagesintile.com is the one that matters: custom tile murals, any image applied to ceramic, porcelain, stone or glass. bisoncoating.com is the dye-sublimation blanks supply arm, which is a supply company and off ICP. Use imagesintile.com."
"Jerusalem Heights","jerusalemheights.com","high","US","Milford","PASS","Coverings 2027","NEEDS EYES","PASS. A producer and manufacturer of natural stone mosaic tile, premium marble mosaics for backsplashes, shower floors and walls. Makes its own mosaics in Connecticut. On-niche and on-medium. Competitor conflict with MEC, so walkthrough CTA"
"KT Exclusive GmbH","kt-exclusive.com","high","DE","","PASS","Heimtextil 2027","NEEDS EYES","PASS. Founded 1996 as a manufacturer and editor of high-end wall coverings and fabrics. 'Editor' is the trade term for commissioning and publishing original collections, which is the design step the tool plugs into. Sells worldwide including a KT Architects trade line"
"Malibu Ceramic Works","malibuceramicworks.com","high","US","Topanga","PASS","TCNA","NEEDS EYES","PASS. Founded 1979. Reproduces historic California tile: Malibu, Catalina, Hispano Moresque, Batchelder. Explicit tile murals and custom tile pages."
"McIntyre Tile, Inc.","mcintyretile.com","high","US","Healdsburg","PASS","TCNA","NEEDS EYES","PASS. Handmade ceramic tile in Healdsburg since 1972. Has a retailers page, so sells to the trade."
"StoneImpressions/Artisan Stone Tile","stoneimpressions.com","high","US","","PASS","TCNA","NEEDS EYES","PASS. Made-to-order pattern tile printed on natural stone, sold through showrooms across North America. Flat 2D patterns, which is the engine's native output. Artisan Stone Tile is its quick-ship sub-line."
"Syzygy Tileworks, Inc.","syzygytile.com","high","US","Silver City","PASS","TCNA","NEEDS EYES","PASS. Founded 1993, Josh and Carolyn White. Twenty artisans, hand cut and pressed, hand brushed glazes, every tile made to order."
