"company","domain","domain_confidence","country","town","gate_flag","source","pre_flag","pre_flag_reason"
"AIXIN TECH.CO., LTD","ralartmosaictile.com","high","CN","Foshan","FLAG","Coverings 2027","NEEDS EYES","FLAG. Trades as Ralart Mosaic, founded 2011, renamed Aixin Technology in Oct 2024. Range includes mosaic ARTS and mosaic MURALS alongside commodity glass and ceramic mosaic, so unlike most Foshan rows there is a custom-design side. Tier 3 geography and a supplier model pull the other way. Check whether mosaic art is a real commissioned line or a catalogue"
"Bar-On Studio","baron-studio.com","high","IL","Petah Tikva","PASS priority","Coverings 2027","NEEDS EYES","PASS priority. The best Coverings row on the list. Founded in Israel in 2010 by three brothers, family owned, and it BOTH designs and manufactures: sculptural concrete decorative wall coverings, curated concrete tiles, and tiles with integrated lighting, from its own Petah Tikva factory and showroom. Sells into the US since 2014 and through Ann Sacks since 2017, so it is trade-facing and already US-proven. Designs in house, makes in house, flat decorative wall surface, owner-operated"
"Driftwood Design Labs","driftwooddesignlab.com","high","US","","PASS priority","Coverings 2027","NEEDS EYES","PASS priority. A creative studio and a division of Lunada Bay Tile, Southern California. Own collections: Zel Moroccan zellige, Cotto Andaluz terracotta, Shoreline, with hand-painted and handcrafted elements. Designs original collections and makes them, which is the profile the ICP was written around. Note the competitor conflict: Lunada Bay is a tile and mosaic house, so this row takes the S7.9 walkthrough CTA with no link to MEC's tool"
"Jeffrey Court","jeffreycourt.com","high","US","Norco","PASS priority","Coverings 2027","NEEDS EYES","PASS priority. Started in 1991 by Jim and Janice Lawson as a HAND-PAINTED tile business and still describes itself as producing high-end decorative mosaic tile, 30+ years on, distributing nationally from Norco CA. Founder-led, decorative, mosaic. Competitor conflict with MEC, so walkthrough CTA, no tool link"
"Jerusalem Heights","jerusalemheights.com","high","US","Milford","PASS","Coverings 2027","NEEDS EYES","PASS. A producer and manufacturer of natural stone mosaic tile, premium marble mosaics for backsplashes, shower floors and walls. Makes its own mosaics in Connecticut. On-niche and on-medium. Competitor conflict with MEC, so walkthrough CTA"
"Marazzi/American Olean","marazziusa.com","high","US","Dallas","FLAG enterprise","Coverings 2027","NEEDS EYES","FLAG enterprise. Two brands, both Dal-Tile and therefore Mohawk: Marazzi since 1935, American Olean since 1923. Genuine design operations but a 200+ enterprise, which per the S7.4 decision-maker table means a Head of Design or digital lead and a long cycle. Tag separately and deprioritise rather than drop"
"Maruman Shokai. Co., Ltd.","tile-maruman.com","high","JP","Tajimi","PASS priority","Coverings 2027","NEEDS EYES","PASS priority. Founded 1931 by Manzo Kato, incorporated 1957, in Tajimi, the centre of Japanese tile production. 65+ years making porcelain MOSAIC tile, 100% made in Japan, local mineral clays, natural glazes, 24-hour firing, with Majolica and Deco named lines. A real artisan mosaic maker with named collections. Competitor conflict with MEC, so walkthrough CTA"
"Maxfato","maxfato.com","high","CN","Foshan","FLAG","Coverings 2027","NEEDS EYES","FLAG. Stands out from the other Foshan rows: it describes itself as DESIGNING and producing mosaics and tiles for clients, with commercial offices in Spain, Mexico, Australia and Brazil alongside the Foshan HQ and showroom. Range spans metal, porcelain, natural stone, engineered stone and craft glass. 'For clients' suggests project and custom work. Worth a site read"
"Roca / Lamosa USA","rocatileusa.com","high","US","Miami","FLAG enterprise","Coverings 2027","NEEDS EYES","FLAG enterprise. Roca Tile's tile division was bought by Grupo Lamosa in Sept 2021 and the two run together as ROCA TILE USA and LAMOSA USA, with design studios and showrooms in Miami, Chicago and New York. 100+ years of manufacturing and distribution. Same call as Marazzi: real design operation, enterprise buyer, long cycle, deprioritise rather than drop"
"StyleAccess","style-access.com","high","US","Carrollton","FLAG","Coverings 2027","NEEDS EYES","FLAG. The most arguable row on the list. An importer, DESIGNER and distributor that owns Lungarno Ceramics (2013, designer-led collections including handmade wall tile) and CommodiTile (2017), and says it is involved in all phases of the tile design process while sourcing production from Asia and Europe. So it designs but does not manufacture. Under the 24 Aug S7.4 pivot 'makes the product themselves' is no longer a hard gate, which means this row now qualifies on criteria 1 and 3 where it would have been dropped before the pivot. A clean test of whether the pivot was right"
"TIEIC Ceramics","tieic.com","high","US","","FLAG","Coverings 2027","NEEDS EYES","FLAG. A Pennsylvania-registered entity selling tile made in Morbi into North America, and the one commodity-adjacent row with a real design hook: it runs dedicated CUSTOM TILES and MOSAIC pages offering customisation of size, shape, colour and finish. That is criterion 1 and 3 on paper. The catch is that its stated customer is the North American IMPORTER, not an end customer, so confirm who actually makes the design choice"
"Terra Bella","terrabella.design","high","US","Clifton","FLAG","Coverings 2027","NEEDS EYES","FLAG. Self-describes as manufacturer, importer AND US distributor of ceramic, stone and glass mosaic. All three roles in one sentence, so the maker share is unknown. Mosaic is on-niche and the company is small enough for the owner to be the buyer. Worth a site read rather than a drop"
"Tile Park Japan","tile-park.com","medium","JP","Kani, Gifu","FLAG","Coverings 2027","NEEDS EYES","FLAG. A platform rather than a maker: it aggregates premium Japanese tile and supports designers with free samples and BIM data. TN Corporation manufactures porcelain in the same Gifu region and may be the operator. A specifier-facing marketplace could be a channel partner rather than a prospect. Only regional sites surfaced, so verify the primary domain"
"XIAMEN ELIN LANDO INDUSTRIAL CO.,LTD","elinlandomarble.com","high","CN","Xiamen","FLAG","Coverings 2027","NEEDS EYES","FLAG. Built by Portia Guo in 2013-14 and describes itself as a SPECIALTY MANUFACTURER of high-end natural stone mosaic, field tile and countertops, booked at Verona and Coverings. A small, founder-run mosaic maker rather than a trading house, which separates it from the other Xiamen rows. Tier 3 geography and stone rather than printed pattern are the arguments against"
"Zaijian Mosaic","zaijianmosaic.com","high","CN","Chengdu","PASS","Coverings 2027","NEEDS EYES","PASS. Founded 1993 and one of the pioneers that brought MOSAIC ART into home decoration, now a significant force in global mosaic, doing stone mosaic, art mosaic and lava. Art mosaic means commissioned custom work, which is the approval-wait the tool removes. Tier 3 geography and a direct MEC competitor, so walkthrough CTA"
"A.S. Création Tapeten AG","as-creation.com","high","DE","Gummersbach","PASS priority","Heimtextil 2027","NEEDS EYES","PASS priority. Germany's youngest and one of Europe's largest wallpaper makers, founded 1974. Over 2,000 new designs a year, ~6,000 articles across ~80 collections. Already runs a room visualisation tool where a customer uploads a photo of their own room, so this is the S7.4 has-a-configurator hook, not a rejection, and it belongs in the S11 A/B cohort"
"Bankside Decor Ltd (Ohpopsi)","ohpopsi.com","high","GB","","PASS priority","Heimtextil 2027","NEEDS EYES","PASS priority. Ohpopsi is the trading brand of Bankside Decor. Bold wallpaper and large-scale wall murals designed by British designers and printed in the UK. Designs in house and sells made-to-order murals, which is criterion 1 and 3 together"
"Esselle Retail Limited","esselleretail.com","high","GB","","PASS priority","Heimtextil 2027","NEEDS EYES","PASS priority. In-house design team, over 300 live wallpapers, and collections engineered to coordinate wallpaper with fabrics, blinds and rugs. Owns the Arthouse and Esselle Home brands. Coordinating four product categories off one pattern is exactly what a generative engine shortens"
"Hohenberger Manufaktur für Tapeten I Taubert GmbH & Co. KG","hohenberger-wallcoverings.com","high","DE","Hohenberg an der Eger","PASS","Heimtextil 2027","NEEDS EYES","PASS. Third-generation Bavarian wallpaper manufactory, ~90 years, produces only in Germany, PVC and plasticiser free. Runs both modern digital printing and traditional techniques, and digital printing is what makes short-run bespoke commercially possible"
"KT Exclusive GmbH","kt-exclusive.com","high","DE","","PASS","Heimtextil 2027","NEEDS EYES","PASS. Founded 1996 as a manufacturer and editor of high-end wall coverings and fabrics. 'Editor' is the trade term for commissioning and publishing original collections, which is the design step the tool plugs into. Sells worldwide including a KT Architects trade line"
"Marburger Tapetenfabrik J.B. Schaefer GmbH & Co. KG","marburg.com","high","DE","Kirchhain","PASS priority","Heimtextil 2027","NEEDS EYES","PASS priority. One of Europe's oldest wallpaper makers, founded 1845, 290 employees, 100% made in Germany, and its collections are created by named international designers. Sells as Marburg Wallcoverings. Named-designer collections plus real scale is the strongest murals-side profile on this list"
"Parato S.r.l. (Cristiana Masi)","parato.it","high","IT","Aprilia","PASS priority","Heimtextil 2027","NEEDS EYES","PASS priority. Creating wallpaper collections for international markets since 1985, 100% made in Italy. Cristiana Masi is an architect and the named creative behind every collection, which makes the design step both visible and owned by one decision maker. Small enough that the owner is the buyer"
