"company","website","domain","domain_confidence","country","town","niche","source","stand","generic_email","also_trading_as","pre_flag","pre_flag_reason","row_type","wave"
"X-IS","https://wa-kei.com","wa-kei.com","directory","JP","TAJIMI, GIFU","Ceramic / Tile (verify)","Cersaie 2026 + TCNA","Hall 26 Stand B26","overseainquiry@x-is.co.jp","Wakei & Company, Ltd.","NEEDS EYES","passes the free checks. Run gates 3 to 5 on the site || merged duplicate, researched separately as Wakei & Company, Ltd.: Set up by several Japanese mosaic tile manufacturers to stock their product in Southern California. It is the US stocking and import arm, not the maker, so the design decision sits in Japan. TCNA lists it as an Art Studio, which is why it survived the membership filter.","new","wave2"
"ALVA Surfaces/Wizard","https://alvasurfaces.com","alvasurfaces.com","high","US","San Antonio","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","FLAG gate 3. Self-describes as distributor, importer AND manufacturer. Does manufacture its own Wizard, Bison Brick and Valletta ceramic lines, so it is not a pure middleman. TCNA slug is mtm-wizard-enterprise-llc, the legal name behind the ALVA brand.","new","wave2"
"American Glass Mosaics","https://americanglassmosaics.com","americanglassmosaics.com","high","US","Spring Lake","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS. Only large-scale US glass tile maker using 100% recycled glass. Founded 2013. Own factory. Clean gate 3 pass.","new","wave2"
"American Restoration Tile, Inc.","https://restorationtile.com","restorationtile.com","high","US","Little Rock","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS. Custom historical tile reproduction, 1860s-1940s patterns. Does restoration AND new construction custom work, so it clears the restoration-only exclusion in S7.4.","new","wave2"
"ARTO Brick & Tile","https://arto.com","arto.com","high","US","Los Angeles","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS. Founded 1966 by Arto Alajian, run by sons Armen and Vod. About 80 people handcrafting concrete, terracotta and ceramic tile and brick on site.","new","wave2"
"Casa Ceramica, Inc.","https://casaceramica.com","casaceramica.com","high","US","West Palm Beach","Decorative / Artisan Tile","TCNA","","","","LIKELY OUT","LIKELY OUT gate 3. Established 1996 as the retail division of LTS Ceramics. Sources handmade tile from artisans in Tunisia, Italy, Spain, Portugal, France and Morocco and resells through 15+ states via distributors. Reads importer/retailer, not maker. Does offer custom orders made in US artisan studios, so not an automatic kill. Not the Manchester UK Casa Ceramica.","new","wave2"
"Chadwick's Surfaces International, Inc.","https://chadwickssurfaces.com","chadwickssurfaces.com","high","US","Lake Forest","Decorative / Artisan Tile","TCNA","","","","LIKELY OUT","LIKELY OUT gate 3. Calls itself manufacturer, designer and distributor of stone, terracotta and ceramic sourced from around the world. The around-the-world sourcing language is the distributor tell. Confirm on site whether anything is made in house.","new","wave2"
"Dunis Studios","https://dunisstudios.com","dunisstudios.com","high","US","Wimberley","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS priority. Designs and manufactures its own lines and sells through tile showrooms, which is the to-the-trade signal. Handmade ceramic, glass, mosaic and brick, 10-12 step process, 30+ years. Strong fit.","new","wave2"
"Elon Tile & Stone","https://elontile.com","elontile.com","high","US","Bethel","Decorative / Artisan Tile","TCNA","","","","LIKELY OUT","LIKELY OUT gate 3. Describes itself as an importing and exporting wholesale company of natural stone, established 1966. Wholesaler plus stone rather than pattern. Two gates against it.","new","wave2"
"Hovey Tile Art LLC","","","NO SITE FOUND","US","Mentone","Decorative / Artisan Tile","TCNA","","","","NEEDS DOMAIN","BLOCKED. No website exists after two search passes. Presence is directory only: LinkedIn, Facebook, Yelp, Yellow Pages, Manta. Owner Cindy Hobey, 1221 Opal Ave, est. 1984, about 21 staff. Cannot be enriched or emailed without a domain. Phone 909-794-3815 if worth a manual call.","new","wave2"
"Images In Tile USA, Inc. dba Bison Coating & Supply","https://imagesintile.com","imagesintile.com","high","US","Joplin","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS. Full TCNA name resolved: Images In Tile USA, Inc. dba Bison Coating & Supply. Two businesses, two domains. imagesintile.com is the one that matters: custom tile murals, any image applied to ceramic, porcelain, stone or glass. bisoncoating.com is the dye-sublimation blanks supply arm, which is a supply company and off ICP. Use imagesintile.com.","new","wave2"
"Linden Workshops","https://lindenworkshops.com","lindenworkshops.com","high","US","Chicago","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS priority. Three handmade art tile lines: Bronzework Studio, Foundry Art, Talisman. All made in the US, sold through fine tile specialty shops in North America, UK, Japan and Scandinavia. Bought and renamed in 2024, so a new owner is likely open to new tooling.","new","wave2"
"LIVDEN","https://livden.com","livden.com","high","US","San Diego","Decorative / Artisan Tile","TCNA","","","","NEEDS EYES","PASS priority. Designs its own line of 50+ tile designs on upcycled post-consumer terrazzo bases, 65-100% recycled, made in the US. Designs in house and sells made-to-order. Strong fit.","new","wave2"
