"company","domain","alt_domain","city","state","country","confidence","gate_flag","research_note"
"A.G.M. S.r.l.","","","Casoria","","IT","unresolved","EXCLUDE","Heimtextil lists it under Inks and Wallpapers, and its PASTER series is high-concentration pigment preparations for colouring PVC synthetic leather and vinyl coated fabrics. That is a chemical feedstock supplier, not a wallcovering house. D&B places an A.G.M. SRL in Casoria, Napoli, but no company site could be confirmed and searches collide with A.G.M. di Acciaioli (agmtex.it), an unrelated Montemurlo fabric mill. Do not use agmtex.it for this row"
"A.S. Création Tapeten AG","as-creation.com","","Gummersbach","","DE","high","PASS priority","Germany's youngest and one of Europe's largest wallpaper makers, founded 1974. Over 2,000 new designs a year, ~6,000 articles across ~80 collections. Already runs a room visualisation tool where a customer uploads a photo of their own room, so this is the S7.4 has-a-configurator hook, not a rejection, and it belongs in the S11 A/B cohort"
"AV-Design Inh. Alla Vaysman","","","","","DE","none","EXCLUDE","Hall 4.2 pattern studio. Alla Vaysman sells concepts, colorations and designs for wallpaper, fabric, textiles and wrapping paper to manufacturers, which is the output the tool generates. Wrong side of the trade. No website exists either: LinkedIn and Instagram only"
"Bankside Decor Ltd (Ohpopsi)","ohpopsi.com","","","","GB","high","PASS priority","Ohpopsi is the trading brand of Bankside Decor. Bold wallpaper and large-scale wall murals designed by British designers and printed in the UK. Designs in house and sells made-to-order murals, which is criterion 1 and 3 together"
"Claire Louise Designs","claire-louise.com","","Durham","","GB","high","LIKELY OUT revenue","Listed in hall 4.2 but it is not only a pattern studio: Claire Louise designs and then prints onto cushions, kitchenware and gifts sold through John Lewis and Fenwick. So the wrong-side-of-trade reason does not apply. It fails on size instead. An independent illustrated-gift business run by one designer since 2007 will not clear the $1M gate. Verify revenue rather than assuming the hall tells you why"
"Erfurt & Sohn KG","erfurt.com","","Wuppertal","","DE","high","LIKELY OUT","Family firm since 1827 and market leader in PAINTABLE wall coverings, the woodchip and non-woven products a decorator paints over. The product carries texture, not pattern, so a pattern engine has nothing to render. Their 30+ structures are embossings, not designs"
"Esselle Retail Limited","esselleretail.com","essellehome.com","","","GB","high","PASS priority","In-house design team, over 300 live wallpapers, and collections engineered to coordinate wallpaper with fabrics, blinds and rugs. Owns the Arthouse and Esselle Home brands. Coordinating four product categories off one pattern is exactly what a generative engine shortens"
"Haley Studios Ltd.","haleystudios.com","","Brighouse","","GB","medium","EXCLUDE","Hall 4.2 pattern studio. Original hand-painted artwork in gouache and metallic paint, sold for use across surface pattern. Sells designs to manufacturers, so wrong side of the trade. Domain came from a trade directory that printed it as 'ww.haleystudios.com', a typo, so confirm it resolves before use"
"Hohenberger Manufaktur für Tapeten I Taubert GmbH & Co. KG","hohenberger-wallcoverings.com","hohenberger-atelier.com","Hohenberg an der Eger","","DE","high","PASS","Third-generation Bavarian wallpaper manufactory, ~90 years, produces only in Germany, PVC and plasticiser free. Runs both modern digital printing and traditional techniques, and digital printing is what makes short-run bespoke commercially possible"
"Kaleidoscope Surface Design Olesja Breuer","kaleidoscope-sd.com","","Berlin","","DE","high","EXCLUDE","Hall 4.2 pattern studio, founded by Olesja and Vera Bartolomej with Galina Sodolovskaya. Sells exclusively handmade one-of-a-kind patterns to manufacturers. Wrong side of the trade"
"KBM Sp. z o.o.","kbm.com.pl","wallfix.pl","Belchatow","","PL","high","LIKELY OUT","Two businesses, both failing gate 3. It is Poland's leading wallpaper DISTRIBUTOR, reselling Rasch, Hohenberger and Graham & Brown, and it manufactures wallpaper ADHESIVE under the Wallfix and Masterline brands. Adhesive is an explicit S7.4 exclusion and reselling is gate 3"
"KRITI & KUNAL","","","","","IN","none","EXCLUDE","Hall 4.2 pattern studio run by Kriti Sharma and Prince Kunal Gaurav, hand-painted fabrics and murals sold to clients across India, Europe, the US and UAE. Wrong side of the trade. No company website found either, LinkedIn only"
"KT Exclusive GmbH","kt-exclusive.com","","","","DE","high","PASS","Founded 1996 as a manufacturer and editor of high-end wall coverings and fabrics. 'Editor' is the trade term for commissioning and publishing original collections, which is the design step the tool plugs into. Sells worldwide including a KT Architects trade line"
"Lee Design Studio","","","","","","unresolved","EXCLUDE","Hall 4.2 pattern studio and excluded on that basis. The name is too generic to resolve: searches return several unrelated Lee-named surface designers. Needs the Heimtextil exhibitor listing itself if the row is ever revisited"
"Marburger Tapetenfabrik J.B. Schaefer GmbH & Co. KG","marburg.com","","Kirchhain","","DE","high","PASS priority","One of Europe's oldest wallpaper makers, founded 1845, 290 employees, 100% made in Germany, and its collections are created by named international designers. Sells as Marburg Wallcoverings. Named-designer collections plus real scale is the strongest murals-side profile on this list"
"Norafin Industries (Germany) GmbH","norafin.de","norafin.com","Mildenau","","DE","high","EXCLUDE","Technical nonwovens: spunlace, needlepunch and composite roll goods for filtration, performance apparel, medical, automotive, roofing. It sits in the Heimtextil wallcoverings hall as a substrate supplier. There is no pattern and no end customer choosing a design"
"Onno Raadersma","raadersma.com","","Rotterdam","","NL","high","EXCLUDE","Hall 4.2 pattern studio, trading as Onno Raadersma Dessins. Sells dessins for interior fabrics to manufacturers. Wrong side of the trade"
"Parato S.r.l. (Cristiana Masi)","parato.it","","Aprilia","","IT","high","PASS priority","Creating wallpaper collections for international markets since 1985, 100% made in Italy. Cristiana Masi is an architect and the named creative behind every collection, which makes the design step both visible and owned by one decision maker. Small enough that the owner is the buyer"
