"company","domain","country","Size","Annual Revenue","segment","lead_persona","dm_targets","Use AI Tool Level","Use AI Has Tryon","Use AI Has Prompt","Use AI Product Category","Use AI Tool Url","Use AI Tool Evidence","rank_score"
"Images In Tile USA, Inc. dba Bison Coating & Supply","imagesintile.com","US","11-50 employees","10M-25M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","custom tile murals","https://imagesintile.com/contact/","The site states “Every Project Is Unique” and “We Custom-Quote Each Project.” Its contact page provides a message form and file upload, indicating a manual custom-design workflow rather than an interactive try-on or prompt-generation tool.","112"
"Altura Stone","alturastoneandtile.com","US","11-50 employees","10M-25M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","natural stone surfaces","http://alturastoneandtile.com/pages/special-order","The special-order page states that trade partners can order “customed-design products in a multitude of shapes and finishes” and lists “Custom Waterjet Mosaics & Tiles” and “3D Panels.” It directs customers to “get in touch with us,” indicating a people-led custom service rather than an interactive visualizer.","112"
"AIP PORTE","aipporte.com","IT","11-50 employees","5M-10M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","custom interior doors","https://aipporte.com/","The site labels a section “Progetta la tua porta interna” and states that AIP does not produce stock doors but makes every model to suit the customer’s needs, with requested combinations of hardware, handles, finishes, colors, and dimensions; this is a bespoke/manual service rather than an interactive visualizer.","111"
"FORNACE SUGARONI VINCENZO","sugaroni.it","IT","11-50 employees","5M-10M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","handmade terracotta tiles","https://www.sugaroni.it/","The site offers bespoke work only through people: 'Su misura per te – contattaci per un preventivo' (made-to-measure for you – contact us for a quote) and 'Tailored for you – request a free estimate'. No visualizer, configurator, or any interactive room-preview or prompt-based tool was found anywhere on the site.","111"
"GIULINI GIOVANNI RUBINETTERIA","giulini.it","IT","11-50 employees","5M-10M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","Bathroom faucets and accessories","https://www.giulini.it/en/design-your-vision/","The site says, “It all starts with listening” and that “Every element is selected or custom-made,” with GIULINI working “with suppliers and artisans.” It also states that customers can choose their color, finish, and customization through the DELUXE collection; no interactive preview or prompt-based generator is described.","111"
"GME DIVISION BAÑOS","gmelorente.com","ES","11-50 employees","5M-10M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","shower screens, trays, taps","https://gmelorente.com/productos/mamparas-y-platos-a-medida/","The site's navigation includes a 'Customized / A medida' section for 'mamparas y platos a medida' (made-to-measure shower screens and trays), i.e. bespoke products delivered by people rather than a self-service tool. No visualizer, configurator, room preview, or AI/prompt tool appears anywhere in the navigation, homepage, or product pages.","111"
"KAROISTANBUL","karoistanbul.com","TR","11-50 employees","5M-10M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","handmade tiles and surfaces","https://www.karoistanbul.com/en/","The site offers a “QUICK QUOTE” for “custom solutions” and says, “Fill out the form for our custom solutions, our team will contact you shortly.” Its project form requests a “Technical Drawing / Plan / Image,” indicating a people-led custom service rather than an interactive visualizer.","111"
"MARETTO GROUP","piscinemaretto.it","IT","11-50 employees","5M-10M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","above-ground pools and spas","https://www.piscinemaretto.it/prodotto/linea-fuoriterra-emersa/linea-weekend/piscina-fuoriterra-weekend-l-140-kit","The product page says “Richiedi un PREVENTIVO” and provides fields for width, length, height, colour, and LED preferences. It states that the expert team will “creare una proposta adatta alle tue specifiche esigenze,” indicating a manual quote/customization workflow rather than an interactive visualizer.","111"
"MARGAROLI","margaroli.com","IT","11-50 employees","5M-10M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","heated towel rails radiators","https://www.margaroli.com/en/design/","The design page says, “Using modern computer tools managed by highly qualified staff, Margaroli is able to solve all the possible construction problems in advance.” This indicates staff-delivered manual design support, not an interactive visualizer or text-prompt generator.","111"
"VANITA DOCCE","vanitadocce.com","IT","11-50 employees","5M-10M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","shower enclosures and bathroom accessories","https://www.vanitadocce.com/en","The site advertises the 22POLO division: 'Vanita Docce's proposal is enriched and completed with the possibility of customizing the product in every detail... Shower Enclosures, based on customized production', a bespoke offering delivered by the company's own production department (via 22polo.com) rather than an online tool. No interactive visualizer, configurator, room-preview or AI prompt feature was found in the navigation, collection or product pages.","111"
"4DESIGN","4designsrl.it","IT","11-50 employees","1M-5M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","decorative acoustic panels","https://www.4designsrl.it/en/lab","The site calls the “4Design Lab” a “dedicated space for research, development, and customization,” and describes support through “consultancy” and “the development of bespoke solutions.” This indicates a manual/bespoke service rather than an interactive customer-operated design tool.","110"
"A.A.T.C. AND CO.","aatc.it","IT","11-50 employees","1M-5M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","natural stone materials","https://www.aatc.it/en/company/consultancy","The Consultancy page says its technical office examines client-submitted projects through a detailed analysis, provides personalized assessments, and works with clients to create an ideal technical design. No interactive room visualizer, uploaded-photo preview, or text-prompt generator is identified on the site's Design page.","110"
"BARRO","barroficina.com","PT","51-200 employees","25M-75M","1-MANUAL no tool","Design / Product","Marketing + Design + MD","MANUAL","no","no","handcrafted stoneware tiles","https://barroficina.com/factory/","The site offers no self-service design or visualization tool; its Factory page states 'MADE TO ORDER — Choose a design and a color and we'll do our very best to meet your expectations', and the catalogue says 'if you can't find what you want, you can send us the [image]', with 'PROJECT CUSTOMIZATION Our team will be responsible for creating your order' — bespoke work handled by people via enquiry.","110"
"CLANEA","clanea.ch","CH","11-50 employees","1M-5M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","flush-mounted toilet flush plates","https://clanea.ch/en","The site states the product is 'Individually customizable – Whether natural stone, porcelain stoneware or large format tiles – Clanea adapts to any material', and offers this bespoke matching through people: 'Personal advice for your customized solution. Our team of experts is available to help you – by phone, email, or in person.'","110"
"DANILO RAMAZZOTTI IHF","daniloramazzotti.com","IT","11-50 employees","1M-5M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","handmade ceramic and terracotta tiles","https://daniloramazzotti.com/en/collection/item/dynamic-design/","The site promotes 'Dynamic Design' as a customization offering: 'Only Danilo Ramazzotti can offer you the possibility to really customize your project' and 'You can create your majolica in three simple steps' (choose format, surface, color). There is no interactive online configurator, room preview or photo upload; customization is delivered with staff support ('A dedicated staff will help you to realise what you are looking for').","110"
"FABBRICA DEL SALE","fabbricadelsale.it","IT","11-50 employees","1M-5M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","marble and stone slabs","https://fabbricadelsale.it/project/3d-design/","The 3D Design page states, “We are able to create photorealistic renders and video,” describing a bespoke rendering service. The company also says its rooms are “customized and tailor-made by the company itself,” indicating a manual service rather than an interactive configurator.","110"
"GEOPIETRA","geopietra.it","IT","11-50 employees","1M-5M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","manufactured stone veneer","https://www.geopietra.com/manufactured-stone/customized-stone-coverings","The 'Create your own murogeopietra solution' page describes a staff-driven custom service: customers send a project outline and photographs of the wall to be recreated, and 'Pictures of our proposal will be sent via e-mail, and once approved a sample panel can be made up on customer request.' There is no self-service visualizer, configurator, or AI/prompt tool anywhere in the site's navigation or product pages.","110"
"PETRA ANTIQUA","petraantiqua.com","IT","11-50 employees","1M-5M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","stone surfaces and mosaics","https://petraantiqua.com/en/about","The site has a “Consulting and Design” section stating, “We support your ideas by designing custom solutions to make every environment unique and exclusive.” It also says visitors can see and touch the collections firsthand in its showroom.","110"
"VIDREPUR","vidrepur.com","ES","51-200 employees","25M-75M","1-MANUAL no tool","Design / Product","Marketing + Design + MD","MANUAL","no","no","glass mosaic tiles","https://vidrepur.com/en/azulejos-gresite","The site invites customers to be advised by VIDREPUR's professional team: “Déjate asesorar por el gran equipo de profesionales de Vidrepur...” and provides a “CONTACT US” option; no interactive visualizer, room try-on, or prompt-based generator is stated.","110"
"ARTO Brick & Tile","arto.com","US","51-200 employees","25M-75M","1-MANUAL no tool","Design / Product","Marketing + Design + MD","MANUAL","no","no","handcrafted tile brick pavers","https://arto.com/pages/concrete","ARTO states, “Working on something we do not stock, or do not make yet? Send the drawing,” and says it develops “custom colors, custom shapes, and custom color matches” before production. This is a manual custom-design service rather than an interactive visualizer.","110"
"Chadwick's Surfaces International, Inc.","chadwickssurfaces.com","US","11-50 employees","1M-5M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","natural stone and tile","https://www.chadwickssurfaces.com/","The homepage advertises a “CUSTOM STONE WORKSHOP” where customers can use “setting trays to help bring your custom mosaic vision to life,” with a Chadwick's representative available to provide guidance. This is a human-assisted custom design service rather than an interactive room visualizer or prompt-based generator.","110"
"Linden Workshops","lindenworkshops.com","US","2-10 employees","1M-5M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","decorative accent tiles","https://lindenworkshops.com/contact/","The site says its tile is carried by fine tile showrooms and that it is “always glad to talk through a project directly.” Its contact page provides a phone number and contact form, indicating manual project assistance rather than an interactive design tool.","110"
"Tile by Design, LLC","tilebydesign.net","US","2-10 employees","1M-5M","1-MANUAL no tool","Design / Product","Owner / Founder","MANUAL","no","no","custom decorative tile murals","https://www.tilebydesign.net/","The site describes “TILE MURALS - Any image, on Tile in 3 Easy Steps” and asks customers to “Bring us your own image, photograph, logo, design or idea.” It then says, “we will create a mural just for you,” indicating a manual custom service rather than an interactive preview tool.","110"
