company,domain,alt_domain,city,state,confidence,gate_flag,research_note
"ALVA Surfaces/Wizard","alvasurfaces.com","wizardenterprise.com","San Antonio","TX","high","FLAG gate 3","Self-describes as distributor, importer AND manufacturer. Does manufacture its own Wizard, Bison Brick and Valletta ceramic lines, so it is not a pure middleman. TCNA slug is mtm-wizard-enterprise-llc, the legal name behind the ALVA brand."
"American Glass Mosaics","americanglassmosaics.com","","Spring Lake","MI","high","PASS","Only large-scale US glass tile maker using 100% recycled glass. Founded 2013. Own factory. Clean gate 3 pass."
"American Restoration Tile, Inc.","restorationtile.com","","Little Rock","AR","high","PASS","Custom historical tile reproduction, 1860s-1940s patterns. Does restoration AND new construction custom work, so it clears the restoration-only exclusion in S7.4."
"ARTO Brick & Tile","arto.com","artobrick.com","Los Angeles","CA","high","PASS","Founded 1966 by Arto Alajian, run by sons Armen and Vod. About 80 people handcrafting concrete, terracotta and ceramic tile and brick on site."
"Casa Ceramica, Inc.","casaceramica.com","","West Palm Beach","FL","high","LIKELY OUT gate 3","Established 1996 as the retail division of LTS Ceramics. Sources handmade tile from artisans in Tunisia, Italy, Spain, Portugal, France and Morocco and resells through 15+ states via distributors. Reads importer/retailer, not maker. Does offer custom orders made in US artisan studios, so not an automatic kill. Not the Manchester UK Casa Ceramica."
"Chadwick's Surfaces International, Inc.","chadwickssurfaces.com","","Lake Forest","IL","high","LIKELY OUT gate 3","Calls itself manufacturer, designer and distributor of stone, terracotta and ceramic sourced from around the world. The around-the-world sourcing language is the distributor tell. Confirm on site whether anything is made in house."
"Dunis Studios","dunisstudios.com","","Wimberley","TX","high","PASS priority","Designs and manufactures its own lines and sells through tile showrooms, which is the to-the-trade signal. Handmade ceramic, glass, mosaic and brick, 10-12 step process, 30+ years. Strong fit."
"Elon Tile & Stone","elontile.com","","Bethel","CT","high","LIKELY OUT gate 3","Describes itself as an importing and exporting wholesale company of natural stone, established 1966. Wholesaler plus stone rather than pattern. Two gates against it."
"Hovey Tile Art LLC","","","Mentone","CA","NO SITE FOUND","BLOCKED","No website exists after two search passes. Presence is directory only: LinkedIn, Facebook, Yelp, Yellow Pages, Manta. Owner Cindy Hobey, 1221 Opal Ave, est. 1984, about 21 staff. Cannot be enriched or emailed without a domain. Phone 909-794-3815 if worth a manual call."
"Images In Tile USA, Inc. dba Bison Coating & Supply","imagesintile.com","bisoncoating.com","Joplin","MO","high","PASS","Full TCNA name resolved: Images In Tile USA, Inc. dba Bison Coating & Supply. Two businesses, two domains. imagesintile.com is the one that matters: custom tile murals, any image applied to ceramic, porcelain, stone or glass. bisoncoating.com is the dye-sublimation blanks supply arm, which is a supply company and off ICP. Use imagesintile.com."
"Linden Workshops","lindenworkshops.com","","Chicago","IL","high","PASS priority","Three handmade art tile lines: Bronzework Studio, Foundry Art, Talisman. All made in the US, sold through fine tile specialty shops in North America, UK, Japan and Scandinavia. Bought and renamed in 2024, so a new owner is likely open to new tooling."
"LIVDEN","livden.com","","San Diego","CA","high","PASS priority","Designs its own line of 50+ tile designs on upcycled post-consumer terrazzo bases, 65-100% recycled, made in the US. Designs in house and sells made-to-order. Strong fit."
"Malibu Ceramic Works","malibuceramicworks.com","","Topanga","CA","high","PASS","Founded 1979. Reproduces historic California tile: Malibu, Catalina, Hispano Moresque, Batchelder. Explicit tile murals and custom tile pages."
"McIntyre Tile, Inc.","mcintyretile.com","","Healdsburg","CA","high","PASS","Handmade ceramic tile in Healdsburg since 1972. Has a retailers page, so sells to the trade."
"Mediterra Tile","mediterratile.com","","Tumacacori","AZ","high","PASS priority","Design, fabrication and distribution of artisan tile and mosaic. Extensive glaze palette offered for fully custom tile, 4-8 week lead times. A long lead time with a custom glaze choice is exactly the approval-wait the tool shortens."
"Quemere Designs","quemeredesigns.com","","Middletown","CT","high","PASS priority","Only handmade tile factory on the East Coast by its own claim, since 1987. 400+ shapes, 500+ glaze colours plus custom colours, every order custom glazed to one dye lot. The biggest combinatorial catalogue on this list and no configurator found. Best single TCNA candidate."
"StoneImpressions/Artisan Stone Tile","stoneimpressions.com","","","","high","PASS","Made-to-order pattern tile printed on natural stone, sold through showrooms across North America. Flat 2D patterns, which is the engine's native output. Artisan Stone Tile is its quick-ship sub-line."
"Syzygy Tileworks, Inc.","syzygytile.com","","Silver City","NM","high","PASS","Founded 1993, Josh and Carolyn White. Twenty artisans, hand cut and pressed, hand brushed glazes, every tile made to order."
"The Rookwood Pottery Co.","rookwood.com","","Cincinnati","OH","high","FLAG mixed 2D/3D","Since 1880, revived 2004, 88,000 sq ft plant. Sells both art pottery, which is 3D and excluded, and architectural tile, which qualifies. Has a dedicated Architectural Tile page. Pitch the tile division only."
"The Tileworks of Bucks County","thetileworks.org","store.thetileworks.org","Doylestown","PA","high","EXCLUDE","Operates the historic Moravian Pottery and Tile Works as a 501c3 non-profit museum with tours, classes and workshops. Hits two S7.4 exclusions at once: nonprofit/institutional buyer and teaching studio. It does sell design, fabrication and installation services, but the buyer type is wrong for a paid commercial tool."
"Tile by Design, LLC","tilebydesign.net","","Duncansville","PA","medium","PASS","Domain comes from the TCNA directory listing only. No independent confirmation of a live site appeared in search, so verify the domain resolves before spending credits. TCNA membership type Art Studio, products listed as Art Tile Pictures and Tile-Murals."
"Unique Design Solutions","uniquedesignsolutions.com","","Phoenix","AZ","high","PASS, dedupe check","Own factory in Phoenix, TCNA Art Studio member, products span glazed ceramic, custom, glass, metallic, mosaic and glazed porcelain. Do not confuse with uniquedesignks.com, an unrelated Topeka KS flooring retailer. Its Uniquely Oceanside display board means an Oceanside Glasstile relationship, and Oceanside is already row 14 of wave 1, so dedupe before outreach."
"Wakei & Company, Ltd.","wa-kei.com","","Simi Valley","CA","high","LIKELY OUT gate 3","Set up by several Japanese mosaic tile manufacturers to stock their product in Southern California. It is the US stocking and import arm, not the maker, so the design decision sits in Japan. TCNA lists it as an Art Studio, which is why it survived the membership filter."
"Whitehill Enterprises, LLC","whitehillenterprises.com","","Joplin","MO","high","FLAG gate 3","Custom tile mosaic and mural design, but the service list includes project management and tile installation, and public art consulting. Design-led with an installation arm rather than a pure installer. Also note it is in Joplin MO, the same small city as Images In Tile, so check whether the two are related before treating them as separate accounts."
"Winsor Fireform, LLC","winsorfireform.com","","Tumwater","WA","high","FLAG criterion 1","Founded 1983. Manufactures custom porcelain enamel panels and graphic tile at full photographic fidelity, including Citi Field and Yankee Stadium murals. A genuine maker of flat custom work, but it sells into architects and public art commissions, so there is no customer-facing design step for the tool to sit on. Internal-efficiency pitch only."
