"company","domain","country","town","q1_verdict","tool_level","q1_rank","sell_angle","tool_evidence","q1_category","q1_reason","niche","source","Annual Revenue","Size","Industry","Description"
"A.S. Création Tapeten AG","as-creation.com","DE","Gummersbach","CANDIDATE A","ADVANCED","4-ADVANCED","They have placement and personalisation already. What they do NOT have is generation. Sell the Imagine-From-Scratch half: their tool needs the customer to arrive holding an image, MEC's invents one from a sentence || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","Room visualisation at /advice-help/room-visualisation plus a configurator: upload your own image, set the format, pick the material, cut to your wall. Separate app at newwalls.as-creation.com, also mobile","in scope","hand-verified priority on 14 Sept: PASS priority. Germany's youngest and one of Europe's largest wallpaper makers, founded 1974. Over 2,000 new designs a year, ~6,000 articles across ~80 collections. Already runs a ","Murals & Wallcoverings","Heimtextil 2027","75M-200M","501-1,000 employees","Printing Services","The A.S. Création Group comprises two Divisions (segments), the Wallpaper Division and the Furnishing Fabrics Division.
The Wallpaper Division produces and markets wallpapers and borders on a global scale; accounting for more than 90% of Group sales, it is the larger of the two Divisions. The wallpapers are primarily produced in Germany at A.S. Création Tapeten AG on the site in Wiehl-Bomig. In addition, wallpapers are produced in Novoselje, Belarus. The other operating entities that form part of the Wallpaper Division are pure sales and trading companies without their own production facilities. They are based in the UK, the Netherlands, France and Russia. Headquartered in Germany, the Furnishing Fabrics Division markets curtains and furnishing fabrics and has no manufacturing resources of its own.

 A.S. Création Tapeten AG is one of the leading wallpaper manufacturer in Europe. Annually, more than 6,000 different wallpapers and borders are manufactured in all material qualities and for all application areas. A.S. Création offers its customers a wide range of services: comprehensive departmental planning, shop-fitting, ordering, decoration, individual marketing concepts, sales promotional packages, concepts for point-of-sale (POS), as well as a 24-hour delivery service."
"Bankside Decor Ltd (Ohpopsi)","ohpopsi.com","GB","","CANDIDATE A","NONE","2-NONE","In-house British designers, 2,000+ designs, and a customer who cannot see any of it on their own wall before buying || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Ready-made murals only, at set sizes: one design split across six 50cm strips supplied as a roll. No visualiser or configurator surfaced","in scope","hand-verified priority on 14 Sept: PASS priority. Ohpopsi is the trading brand of Bankside Decor. Bold wallpaper and large-scale wall murals designed by British designers and printed in the UK. Designs in house and ","Murals & Wallcoverings","Heimtextil 2027","5M-10M","11-50 employees","Manufacturing","ohpopsi.com produce stunning wall murals to fit any space in any place whether bedroom or boardroom.
Choose from over 2000+ designs, scale to your wall dimensions and we will do the rest.
Any queries, please call us on 0161 923 0234 and we will be delighted to help.

ohpopsi.com - making walls wonderful"
"Driftwood Design Labs","driftwooddesignlab.com","US","","CANDIDATE A","NONE","2-NONE","They have published an argument for the exact bottleneck MEC removes. Open on their own words || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","No tool surfaced. Their own blog post is titled The Importance of Tile Samples in Your Decision-Making Process","in scope","hand-verified priority on 14 Sept: PASS priority. A creative studio and a division of Lunada Bay Tile, Southern California. Own collections: Zel Moroccan zellige, Cotto Andaluz terracotta, Shoreline, with hand-paint","Tile / Stone (verify)","Coverings 2027","25M-75M","51-200 employees","Wholesale Building Materials","Driftwood Design Lab is part of Lunada Bay Tile family with a unique focus on the market. Leveraging over 30 years of experience in the tile industry, Driftwood Design Lab creates and sources exclusive tile products to meet the needs of medium and high-end distributors/retailers in North America."
"Dunis Studios","dunisstudios.com","US","Wimberley","CANDIDATE A","BASIC","3-BASIC","Three dropdowns is not a design step. Each tile is described as a small original abstract painting, which is impossible to choose from a list || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","A picker: choose a tile body (smooth or textured), choose a size, choose a colour. No room view, no pattern composition","in scope","hand-verified priority on 14 Sept: PASS priority. Designs and manufactures its own lines and sells through tile showrooms, which is the to-the-trade signal. Handmade ceramic, glass, mosaic and brick, 10-12 step proc","Decorative / Artisan Tile","TCNA","1M-5M","","","Dunis Studio produces tiles from deterministic to hyper in many materials, such as ceramics, bricks, shattered tile, and marble mosaics. In addition to chair rails, mirror frames, and crown moldings, they used a variety of other architectural elements."
"ECO CERAMICA","ecoceramica.com","IT","CASALGRANDE - S.ANTONINO","CANDIDATE A","BASIC","3-BASIC","Filters help you find a SKU. They do not help a client approve a bespoke composition || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","Search filters by effect, style and room, plus a stated ability to personalise formats, colours and finishes, handled as a consultation","in scope","bespoke/handmade language; own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","ECO Ceramica Group is an Italian manufacturer of floor and wall tiles, operating in the international market for over 30 years.

Eco Ceramica's products have a distinctive historical and aesthetic connotation, which represents, since the beginning, an element of identity in all collections.

Consecrated to the respect of the best tradition within the evolution of modern times, Eco Ceramica has developed several product lines, both industrially and by artisan process, offering solutions for different environmental moods.
The company's mission is the full satisfaction of the customer from an aesthetic point of view. 
The industrial production, in accordance with the industry trends, fulfills the values of practicality and functionality. 
The artistic and handcrafted lines with their manual decorations, give great attention to additional details, to satisfy emotional housing needs.

Since its founding, Eco Ceramica has invested in the continuous technological and artistic research of new products to meet the complex needs of a national and international audience, with aesthetic and decorative needs specific to both private and commercial environments. 
Eco Ceramica counts dozens of collections, including Maestri Ceramisti, Cementi Novecento, and Collezioni d’Autore, renowned throughout the industry for having forecasted and gone beyond the trends of the moment, being awarded by The American Ceramic Tile Academy, with the 2003 Top Tile Award in the Ceramic Floor category. 

Since its concept, the founder, under the name Eco Ceramica, has been inspired by respect for eco-sustainability principles throughout the production process, including, in artistic production, the use of purified clays and natural drying processes. 

The artisanal, handmade, artistic production completes and integrates the industrial collections with exclusive glazes, decorations and colors, including the copper, silver and selenium red effect.


https://www.ecoceramica.com/privacy.php"
"Esselle Retail Limited","esselleretail.com","GB","","CANDIDATE A","NONE","2-NONE","Their bespoke loop is an account manager and an email thread. That is the loop, and it is the one MEC compresses || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","300+ live wallpapers and bespoke own-label collections for global retailers, arranged through account managers. No tool surfaced","in scope","hand-verified priority on 14 Sept: PASS priority. In-house design team, over 300 live wallpapers, and collections engineered to coordinate wallpaper with fabrics, blinds and rugs. Owns the Arthouse and Esselle Home ","Murals & Wallcoverings","Heimtextil 2027","1M-5M","11-50 employees","Retail Furniture and Home Furnishings","Esselle Retail Limited, the home of great British brands.

Arthouse
Established in 2000, Arthouse is a trusted name in home décor, offering a wide range of wallpapers, mats, rugs, and peel & stick tiles. With a strong presence in major retailers across the globe, Arthouse is known for its stylish, accessible products that help transform living spaces with ease and creativity.

Belfield Home
Belfield Home is a longstanding institution renowned for its high-quality domestic fabrics. With a focus on excellence and attention to detail, the brand offers a bespoke made-to-measure service, ensuring that every product fits seamlessly into the home. Belfield Home combines craftsmanship with functionality, a reliable choice for discerning homeowners.

Esselle Home
Esselle Home is a luxury brand defined by timeless design narratives. Spanning multiple home product categories, Esselle empowers consumers to bring their interior décor visions to life with sophistication and ease. Each collection is thoughtfully curated to inspire and support cohesive, elegant home styling."
"Jeffrey Court","jeffreycourt.com","US","Norco","CANDIDATE A","BASIC","3-BASIC","Needs an eyeball on hd.jeffreycourt.com before copy references their tooling. Do not claim they have none || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","No configurator found on the main site. A separate platform exists at hd.jeffreycourt.com; its function could not be confirmed from search","in scope","hand-verified priority on 14 Sept: PASS priority. Started in 1991 by Jim and Janice Lawson as a HAND-PAINTED tile business and still describes itself as producing high-end decorative mosaic tile, 30+ years on, distr","Tile / Stone (verify)","Coverings 2027","25M-75M","51-200 employees","Wholesale Building Materials","Jeffrey Court’s story is one of entrepreneurial spirit, love of craft and dedication to innovation. Founded in 1991 by Jim and Janice Lawson, they set out to bring their love for hand painted tiles to the mainstream market.

In true innovator style the Lawson’s discovered a way to permanently affix hand-painted designs as decals on ready-made tiles. Needless to say Jeffrey Court tiles grew in popularity. Soon homebuilders were looking to include Jeffrey Court in their designer upgrade options. It was at that point that the Trade sale division of Jeffrey Court was born.

Today, Jeffrey Court now operates two distinct divisions; Trade/Designer and Retail Sales who’s combined SKU count is over 3,000. The retail division’s focus is a series of main-stream value driven products available through purchase only at The Home Depot.

The Trade Sales Division focus is to bring cutting edge designer-minded products to the Architectural, Kitchen & Bath, and Interior Design communities alike. Our product designers work with a litany of interior designers, product developers, and industry insiders to deliver the very best products possible for our end consumers.

Since Jeffrey Court’s founding the cornerstone by which our products are built upon is our commitment to three core values: (1) Timeless & fashion forward design, (2) Constant product improvement, and (3) Dedication to our Trade & Retail Partners Success. This has allowed us to become leaders in the industry by: smartly combining different decorative elements, having a keen eye for inspired design, and a wide assortment of in-stock decorative tile, stone, glass and metals elements."
"LE NID","lenid.it","IT","PATERNO'","CANDIDATE A","NONE","2-NONE","Sells bespoke to designers with no way to show it. Note the tops are 3D-adjacent: confirm the flat-surface share before pitching || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Sicilian ceramics studio (Paterno, CT). Custom kitchen and bathroom tops on single slabs to 2.5m, advanced processing for designers. No tool surfaced","in scope","bespoke/handmade language; own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","2-10 employees","Retail Art Supplies","Studio Le Nid designs and produces handcrafted ceramic tiles, flooring solutions, and furnishing elements in ceramics. The company focuses on majolica tiles made on Etna lava stone and hand-made terracotta, offering collections for walls, floors, and complete interior and exterior coverings. Studio Le Nid develops decorative lines such as Classici and Deja Vu, combining traditional techniques with contemporary patterns and formats. It also creates ceramic accessories including vases, lamps, tableware, and bathroom complements that coordinate with its tile collections. Studio Le Nid collaborates with architects and designers to develop custom patterns and tailored solutions for residential and architectural projects."
"LIVDEN","livden.com","US","San Diego","CANDIDATE A","BASIC","3-BASIC","The strongest kind of prospect: they already believe in visual selling (quiz, mood boards, Visualize It) but the CUSTOM path drops to an email address || UPGRADE A PICKER. A dropdown, swatch page, colour finder or style quiz. They have accepted the idea of choosing online and stopped at filtering. Show the gap between filtering a catalogue and composing a design","A Style Quiz, tile mood boards, a Visualize It feature, and samples inside the Material Bank mood-board builder. Custom designs are handled by emailing Hello@LIVDEN.com","in scope","hand-verified priority on 14 Sept: PASS priority. Designs its own line of 50+ tile designs on upcycled post-consumer terrazzo bases, 65-100% recycled, made in the US. Designs in house and sells made-to-order. Strong","Decorative / Artisan Tile","TCNA","10M-25M","11-50 employees","Wholesale Building Materials","Imagine a world where art meets sustainability and recycled materials are at the forefront of every home. That's the world LIVDEN is creating.

The concept was to create fresh and innovative patterns in a way that utilized upcycled post-consumer materials, giving people an easy option to choose green.  For the last year, sisters Georgiana and Hilary have combined their complimentary skill sets to design an in-house tile line that is made from 65-100% recycled materials.  While potential company names have changed, their core values for the brand have not.  Since the creation of LIVDEN, its mission has always been based around three things: sustainability, accessibility and originality."
"Linden Workshops","lindenworkshops.com","US","Chicago","CANDIDATE A","NONE","2-NONE","Bought and renamed in 2024. A new owner is the easiest person in this vertical to sell a new capability to || NO DESIGN STEP AT ALL. Sell the capability itself, as a value-add their customers get and their competitors already offer. Confirm by eye first: search indexes tool pages, it does not prove absence","Three handmade lines (Bronzework Studio, Foundry Art, Talisman), a Where To Buy page, a featured-designer page. No tool surfaced","in scope","hand-verified priority on 14 Sept: PASS priority. Three handmade art tile lines: Bronzework Studio, Foundry Art, Talisman. All made in the US, sold through fine tile specialty shops in North America, UK, Japan and S","Decorative / Artisan Tile","TCNA","1M-5M","2-10 employees","Glass, Ceramics and Concrete Manufacturing","Makers of handmade art tile, including Talisman, Foundry Art and Bronzework Studio."
