"company","domain","country","town","q1_verdict","tool_level","q1_rank","sell_angle","tool_evidence","q1_category","q1_reason","niche","source","Annual Revenue","Size","Industry","Description"
"Maruman Shokai. Co., Ltd.","tile-maruman.com","JP","Tajimi","CANDIDATE A","MANUAL","1-MANUAL","THE BEST HOOK IN THE WHOLE LIST. They have written the manual version of MEC Artworks AI into their own process page: a staff-made simulation, a posted sample book, and a wait for approval. 90 colours to choose between, by hand || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Their own process page: Maruman uses LAYOUT SIMULATION to create a prospective finished view of your source picture, then the customer confirms colours against a physical tile sample book and approves the composition","in scope","hand-verified priority on 14 Sept: PASS priority. Founded 1931 by Manzo Kato, incorporated 1957, in Tajimi, the centre of Japanese tile production. 65+ years making porcelain MOSAIC tile, 100% made in Japan, local m","Tile / Stone (verify)","Coverings 2027","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","Maruman established itself over six decades ago as a leading producer and provider of the highest quality porcelain mosaic tiles in Japan and in just a few short years we are recreating our success in the global ceramic tiles market."
"American Glass Mosaics","americanglassmosaics.com","US","Spring Lake","CANDIDATE B","MANUAL","1-MANUAL","A fully human custom-design service, stated plainly on their own customisation page. Only US large-scale 100% recycled glass tile maker. Strong || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Create your own custom blend from their colours and finishes; custom logos, glass mosaic murals and artistic mosaics INDIVIDUALLY CREATED AND HAND ASSEMBLED; in-house Italian glass engineers develop blends; customers collaborate with the team to develop their own","in scope","hand-verified on 14 Sept: PASS. Only large-scale US glass tile maker using 100% recycled glass. Founded 2013. Own factory. Clean gate 3 pass.","Decorative / Artisan Tile","TCNA","10M-25M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","Since 2014, American Glass Mosaics has turned ordinary spaces into elegant works of art with the highest quality glass mosaic tile in a vibrant array of colors. We proudly use 100% recycled glass which sets us apart from other glass tile manufacturers. Because our products are made in America, we offer the fastest turnaround times in the industry. Whether you choose from a variety of pre-defined styles or wish to create your own design, American Glass Mosaics can accommodate your wishes, turning your vision into a beautiful reality."
"American Restoration Tile, Inc.","restorationtile.com","US","Little Rock","CANDIDATE B","MANUAL","1-MANUAL","Second best hook on the list. A paper-and-coloured-pencil design step, in 2026, at a company whose entire business is custom pattern. And because they price on pattern COMPLEXITY, faster iteration has direct margin consequences || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Their own Design Your Own page asks the customer to use COLOURED PENCILS on blank hexagon and square templates, or to post photographs of patterns for the team to recreate. Pricing is by pattern complexity","in scope","hand-verified on 14 Sept: PASS. Custom historical tile reproduction, 1860s-1940s patterns. Does restoration AND new construction custom work, so it clears the restoration-only exclusion in S7.4.","Decorative / Artisan Tile","TCNA","1M-5M","2-10 employees","Glass, Ceramics and Concrete Manufacturing","American Restoration Tile is a custom ceramic tile manufacturing company based in Little Rock, Arkansas. They specialize in reproducing historical tiles to aid in the restoration of significant buildings and residences. Using modern technology and decades of ceramic engineering expertise, they precisely duplicate the sizes, colors, patterns, borders, and medallions of old ceramic tile installations. Their products include unglazed porcelain mosaics with various shapes and sizes, offering endless design possibilities. The company also offers custom manufacturing based on design specifications or era-specific restoration needs."
"CENTURY","century-ceramica.it","IT","ROTEGLIA","CANDIDATE B","MANUAL","1-MANUAL","Pool and spa work is the MEC seed niche. The design service is entirely human || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","An engineering team accompanies designers and clients through material selection and project development, following each project from design phase to shipment. Pools and wellness is a named specialism","in scope","own collections or trade-facing; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Glass, Ceramics and Concrete Manufacturing","Fincibec Group is a world industrial leader in the production of ceramic coverings for floors and walls. It strives to be a point of reference for the most demanding consumers, so that planners, architects and interior designers to interpret modern design trends in the most effective, aesthetically pleasing and versatile manner.  
In the early 1960s, Fincibec began manufacturing floor tiles with fine porcelain stoneware ceramic under the Cibec brand. In 1970, it started producing clear single-fire frost-resistant flooring and the production range was then completed with the introduction of decorative tiles for covering on white paste.  
The Group is focused on ongoing investment in technology and research, to create highly innovative products that meet current and future design needs. A complete and extensive range of formats, sizes, finishes and special pieces are presented in the catalogues for Monocibec, Century and Naxos, the three companies that make Fincibec products all over the world.   
Monocibec is a point of reference for the creation of fine porcelain stoneware products that combine elegance and innovation. Century offers architects and designers a vast selection of inimitable collections that are versatile and high performing. Naxos constantly strives to improve the look of its products and uses the most innovative ceramic technologies for modern design needs. 
Fincibec has three production facilities in Sassuolo (Monocibec), that is also the site of the administrative and management office, Roteglia (Century) and Solignano (Naxos), with annual production capacity of 10 million square metres and 3 logistical platforms within the district."
"CEVI CERAMICA VIETRESE","francescodemaio.it","IT","NOCERA SUPERIORE","CANDIDATE B","MANUAL","1-MANUAL","Five centuries old, collaborates with world-famous names, sells made-to-measure, and has no way to show a client the result. Top-tier Italian row || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","A dedicated Tailor-made page: entirely customised and made-to-measure projects, either from catalogue collections or as unique handmade pieces. Hand-decorated majolica since 1494, with named designer work including Gio Ponti and a Van Gogh collection","in scope","bespoke/handmade language","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","11-50 employees","Architecture and Planning","Handcrafted and hand-decorated majolica tiles reinterpret the historical memory, innovate and create ceramic according to new tastes and design trends..."
"DA VINCI CERAMICA","ceramicadavinci.com","ES","ONDA (CASTELLÓN)","CANDIDATE B","MANUAL","1-MANUAL","Custom ceramic murals to any format is the exact product MEC's engine outputs. The loop is a rep studying a brief || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Ceramic MURAL projects adaptable to any format and fully customisable, plus a projects-to-measure catalogue. Needs are studied per export market and custom solutions offered","in scope","bespoke/handmade language","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","Desde sus inicios Da Vinci se ha forjado a base de un meticuloso trabajo combinado con la seriedad y el respeto hacia nuestros clientes. La escucha activa de los diferentes mercados internacionales ha originado que nuestros productos sean personalizados en cada uno de los proyectos que trabajamos. Sin retos, no existen los avances, en este sentido, Da Vinci, ha apostado por la tecnología y la innovación para adaptarse a un cambio constante, liderado por la perfección y la calidad

Somos un equipo humano lo suficientemente extenso como para conseguir los objetivos que nos marca Da Vinci y lo suficientemente pequeño como para trabajar como un engranaje en todas las fases de producción de nuestro producto.

Nuestra sede ha visto crecer a base de esfuerzo y tesón a dos generaciones que se nutren de la voluntad, el trabajo y esa innovación que sólo la savia joven es capaz de aportar.

El cambio constante hacia la vanguardia de nuestros productos y la sabiduría que da la experiencia combinan a la perfección dando como resultado un producto único con sello propio."
"DANILO RAMAZZOTTI IHF","daniloramazzotti.com","IT","VAPRIO D'AGOGNA","CANDIDATE B","MANUAL","1-MANUAL","Hand-painted majolica with an open-ended format and colour space and a technical staff doing the visualising. Strong || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Dedicated technical staff realise projects working on free forms, formats and sample colours; everything made by hand in-house; explicitly offering to go beyond standard production to a true made-to-measure project","in scope","bespoke/handmade language","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","11-50 employees","Design Services","Le nostre produzioni vengono realizzate tutte con materiali naturali coniugati da un design e ricercatezza, sia estetica che produttiva coniugando così elementi naturali e tecniche artigianali complesse e meticolose, il tutto con gusti e stili temporali che si mantengono negli anni.
 
Punto di forza nonché particolarità del brand è la straordinaria capacità produttiva che permette alla Danilo Ramazzotti di essere produttore unico di cotto, maiolica , marmi e pietre. Tutte queste materie vivono della stessa luce e della stessa importanza poiché vengo prodotte all'interno dei nostri stabilimenti.
 
#maioliche #ceramiche #cotti #marmi #pietre #handmade"
"FORNACE SUGARONI VINCENZO","sugaroni.it","IT","CASTEL VISCARDO","CANDIDATE B","MANUAL","1-MANUAL","Custom means cutting a new mould. Real, but the pattern space is narrow and the medium is structural terracotta || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Handmade terracotta since 1685. Customer services include creating MOULDS for custom formats, personalised finishes and effects, and technical collaboration","in scope","bespoke/handmade language","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Construction","La fornace Sugaroni, una delle più antica d'Italia, produce cotto fatto a mano dal 1500, oltre 5 secoli sempre con la stessa passione artigiana e cura dei particolari. 
I prodotti sono 100% Made in Italy. Ogni mattone viene realizzato a mano come da tradizione.
Numerosi gli elementi classici come numerose sono le linee innovative, dal Nero Etrusco, cotto Nero Etrusco, nero in pasta senza coloranti aggiunti, alle linee dei Colori delle Terre agli Smalti, alla Linea Cottine, completamente colorata e dipinta a mano....."
"INFINITY™","infinitysurfaces.it","IT","PAVULLO","CANDIDATE B","MANUAL","1-MANUAL","Downgrade: most output is countertops and furniture, which is 3D, and the buyer is a stonemason or interior designer || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Consultants evaluate design requirements and possible finishes per project; bespoke kitchen tops, vanities, tables and furniture elements from 160x320 slabs","in scope","bespoke/handmade language","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Building Materials","Infinity was founded from the industrial expertise of Gruppo Concorde, the largest Italian manufacturer of porcelain surfaces for architecture and interior design. 
The company specializes in the production of large-format porcelain slabs for floors, wall cladding, kitchen countertops, custom-made furnishings, and architectural façades."
"Images In Tile USA, Inc. dba Bison Coating & Supply","imagesintile.com","US","Joplin","CANDIDATE B","MANUAL","1-MANUAL","The product is literally image-to-tile-mural and the ordering path is a quote. Exact fit || REPLACE A HUMAN LOOP. They already sell the bespoke outcome and produce it with staff time: hand mock-ups, CAD drawings, sample books, glaze trials, meetings. The tool removes the wait, not the service. Strongest and least contested pitch","Any image applied to ceramic, porcelain, stone or glass tile, plus customer-supplied tile work. No self-serve upload or preview surfaced","in scope","hand-verified on 14 Sept: PASS. Full TCNA name resolved: Images In Tile USA, Inc. dba Bison Coating & Supply. Two businesses, two domains. imagesintile.com is the one that matters: custom tile murals, any i","Decorative / Artisan Tile","TCNA","10M-25M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","Images In Tile, USA is the premier manufacturer of custom tile murals, uniting craft and science. Our canvases are ceramic, porcelain, glass and stone. We love big ideas, no project is too big or too small to create. Let's turn your imagination into reality."
