"company","domain","alt_domain","city","state","country","confidence","gate_flag","research_note"
"AIXIN TECH.CO., LTD","ralartmosaictile.com","","Foshan","","CN","high","FLAG","Trades as Ralart Mosaic, founded 2011, renamed Aixin Technology in Oct 2024. Range includes mosaic ARTS and mosaic MURALS alongside commodity glass and ceramic mosaic, so unlike most Foshan rows there is a custom-design side. Tier 3 geography and a supplier model pull the other way. Check whether mosaic art is a real commissioned line or a catalogue"
"Akgun Seramik/Dura-tiles","duratiles.com","duratiles.com.tr","Istanbul","","TR","high","LIKELY OUT","Duratiles is the brand of Akgun Seramik: 380 million sq ft a year from five plants in Turkey and Bulgaria. Fixed-SKU volume porcelain with accessories, step treads and borders. Nothing a customer designs, so criterion 3 fails"
"Altura Stone","alturastoneandtile.com","","Miami","FL","US","high","LIKELY OUT","Its own strapline is Importer and Distributer of Natural Stone. Family owned since 2007, stocks marble, limestone, travertine, onyx and granite in 100,000+ sq ft of warehouse across Miami, Atlanta and Fairfield NJ and sells through dealers. Gate 3"
"Anatolia & Aeterna","anatolia.com","","Woodbridge","ON","CA","high","LIKELY OUT","A leading IMPORTER and DISTRIBUTOR of ceramic and stone, supplying the largest distributors across the US and Canada from a 600,000 sq ft facility. Aeterna is its own premium sintered-slab brand, so there is brand-level design, but the business is distribution. Gate 3"
"Andean Stone Company- Simpatico Surfaces","andeanstonecompany.com","","Hialeah","FL","US","high","LIKELY OUT","The Miami sales, warehousing and logistics centre for Minera Roca Andina, a Peruvian quarry group, supplying travertine, limestone and marble from the high Andes. A distribution arm for a quarry. Gate 3 plus raw stone"
"Arts Co., Ltd","","","Dongguan","","CN","none","LIKELY OUT","Resolves to Dongguan Arts Co., Ltd, established 2002 near the Foshan ceramics base, making recycled glass mosaic, ceramics, cement products and terrazzo. No company website found, trade platforms and the Coverings listing only"
"Arvex Srl.","arvexmosaic.com","","Mondolfo","","IT","high","FLAG","Founded 1988, develops AND distributes mosaics and tiles in terrazzo, marble, glass and porcelain. Mosaic is a core S7.4 niche and 'develops' points at real in-house design, but 'distributes' and a worldwide dealer network point at gate 3. Needs the site read properly before a verdict"
"Asia Dynasty Resources Pte Ltd","asiadynasty.com","","Singapore","","SG","high","LIKELY OUT","Registered 2014, describes itself as a supplier of premium tile, stone and mosaic that collaborates with mills in China and Malaysia. Singapore business records also class it as a tile contractor. Reseller plus contractor, gate 3 twice"
"Asia Pacific Ceramic","asiapacificceramic.com","","Morbi","","IN","high","LIKELY OUT","Established 2001 in Morbi, 10 million sq m a year on Italian lines, ~70% exported. Volume porcelain slabs and tiles to a catalogue. Criterion 3 fails"
"AVANGARDE CERAMICHE","avangardeceramiche.com","","Foshan","","CN","medium","LIKELY OUT","An Italian-sounding brand operating out of Guangdong, supplying glazed and unglazed ceramic, floor, mosaic and porcelain tile. Domain came from a trade directory rather than a confirmed live site, so verify. Commodity supplier either way"
"Bar-On Studio","baron-studio.com","","Petah Tikva","","IL","high","PASS priority","The best Coverings row on the list. Founded in Israel in 2010 by three brothers, family owned, and it BOTH designs and manufactures: sculptural concrete decorative wall coverings, curated concrete tiles, and tiles with integrated lighting, from its own Petah Tikva factory and showroom. Sells into the US since 2014 and through Ann Sacks since 2017, so it is trade-facing and already US-proven. Designs in house, makes in house, flat decorative wall surface, owner-operated"
"Bestview International Company","bestviewintl.com","","Glenview","IL","US","high","LIKELY OUT","Self-describes as manufacturer AND importer of natural stone: granite, marble, onyx, travertine, slate in 100+ colours, plus countertops, vanities and mosaics. Six-time MIA Pinnacle winner. Stone fabrication and import, not pattern design"
"BiQslab","biqslab.com.tr","","","","TR","high","LIKELY OUT","Bien's large-format slab brand, running 350-metre kilns. Volume slab production. No customer design step"
"Bluetone Ceramic","bluetoneceramic.com","","Morbi","","IN","high","LIKELY OUT","Established 2013, manufactures and exports porcelain floor tile from Morbi. Related entity Bluetone Impex is listed as a trader and wholesaler. Commodity catalogue"
"Cerámica Italia S.A","ceramicaitalia.com","","Cucuta","","CO","high","LIKELY OUT","Colombian maker with 30+ years and 1.3 million sq m a month of capacity aimed at large American orders. Volume catalogue for floors, walls and bathrooms"
"Cinca","cinca.pt","","Fiaes, Santa Maria da Feira","","PT","high","LIKELY OUT","Founded 1964, started in 2.5x2.5cm porcelain mosaic, now ~5.2 million sq m a year into 70+ countries, part of Gruppo Cerdisa Ricchetti. Mosaic is in the ICP but the business is volume catalogue production"
"Cosa Marble Co.","cosamarble.com","","","","US","high","LIKELY OUT","A US wholesale distributor of marble, limestone and onyx. Worth one note: the range includes borders, MEDALLIONS and mosaics, and a medallion is a custom flat 2D design. But the company distributes rather than designs. Gate 3"
"Driftwood Design Labs","driftwooddesignlab.com","","","CA","US","high","PASS priority","A creative studio and a division of Lunada Bay Tile, Southern California. Own collections: Zel Moroccan zellige, Cotto Andaluz terracotta, Shoreline, with hand-painted and handcrafted elements. Designs original collections and makes them, which is the profile the ICP was written around. Note the competitor conflict: Lunada Bay is a tile and mosaic house, so this row takes the S7.9 walkthrough CTA with no link to MEC's tool"
"E-CERAMIC","","","","","","unresolved","LIKELY OUT","Too generic to resolve. Searches collide with Eco Ceramica (ecoceramica.com), an unrelated 27-year Italian wall and floor tile maker. Do not use that domain for this row. Needs the Coverings exhibitor listing"
"Favorita Marmi e Graniti SpA","granitifavorita.com","","Lonigo","","IT","high","LIKELY OUT","Conterno family, 60 years, selects and processes marble, quartzite, granite, onyx and semi-precious stone slabs in the Vicenza marble district. Slab processing, no pattern design"
"Foshan Domogres Building Materials LTD.","dozanmosaic.com","","Foshan","","CN","medium","LIKELY OUT","Founded by Franki Lee, supplies glass, marble, pool, recycled glass and porcelain mosaic plus waterjet and decor tile. Exports mainly to the US, Canada and Ecuador. The operating site appears to be dozanmosaic.com rather than anything matching the registered name, so verify. Commodity mosaic supplier"
"Foshan Hengsheng New Material Co., Ltd.","hengxingmosaic.com","","Foshan","","CN","high","LIKELY OUT","Glass mosaic specialist since 2008, 2,000+ models with new items monthly, into hotels, pools and bathrooms. High SKU churn, no customer design step"
"Graiman CIA Ltda.","graiman.com","","Cuenca","","EC","high","LIKELY OUT","Founded 1992 with Ecuadorian capital, first technical porcelain producer in Ecuador and on the Pacific coast, now digital printing and large format. Producer and national distributor. Volume catalogue"
"Haussmann Natural Stone","haussmannstone.com","","Hayward","CA","US","high","LIKELY OUT","A distributor with 40+ limestone options in stock, offering custom solutions across North America. Limestone distribution. Gate 3 plus raw stone"
"HOMEE FOSHAN CO .LTD","homeemosaic.com","","Foshan","","CN","high","LIKELY OUT","Founded 2005, dedicated solely to R&D and production of mosaic tile, export focused into North and South America, Europe and Australia. Real mosaic manufacturer but a high-end catalogue supplier, not a design-to-approval business"
"Honor View Enterprise Co., Ltd.","","","","","TW","unresolved","LIKELY OUT","A Taiwanese tile supplier visible only in import records, shipping to The Tile Shop in Plymouth MN. Do NOT use honortile.com: that is Zibo Honor Ceramic, an unrelated Chinese maker. Needs the Coverings listing"
"Ibel","ibelceramics.com","","Foshan","","CN","medium","LIKELY OUT","Brand created in 2006 to supply ceramic tile and deco accessories to architects, builders and importers of building materials worldwide. Domain came from a summary rather than a confirmed live page. Supplier to importers, gate 3"
"IKAD X MUZZI TILE INDONESIA","ikad-intl.com","","Jakarta","","ID","high","LIKELY OUT","IKAD and MUZZI are two brands of an Indonesian porcelain manufacturer, designs developed by Italian and Chinese teams, in standard sizes from 12x24 to 32x32. Volume catalogue"
"IMEX INTERNATIONAL CO., LTD","imexinter.com","","Bangkok","","TH","high","LIKELY OUT","Founded 1994, produces glass, ceramic and porcelain tile on high-technology lines. Coverings lists it under decorative, glass, mosaic and porcelain tile. Volume producer"
"Inno Stone","","","","","","unresolved","LIKELY OUT","No match after searching. Results collide with Inno Stickers (peel-and-stick), Innovation Stone & Tile and Stone Innovations, all unrelated. Needs the Coverings exhibitor listing"
