"company","domain","alt_domain","city","state","country","confidence","gate_flag","research_note"
"COMES NORTH AMERICA, INC","","","","","US","unresolved","EXCLUDE","Searched twice. Most likely the North American arm of an Italian stone-machinery maker, either Comes Italy (comesitaly.it, Tito, Potenza) or CO.ME.S Costruzioni Meccaniche Signorini (come.it, Calcinaia), both of which build marble and granite processing machinery. Machinery is an explicit S7.4 exclusion, so the row is out whichever it is and the domain does not matter"
"DOOHA CO., Ltd","dooha.net","","Jincheon","","KR","high","LIKELY OUT","40 years old, sells itself on precision machining and quality control from its Jincheon plant. An industrial component maker exhibiting in a surfaces hall. No pattern, no design step"
"Echelon Surfaces","","","","","US","unresolved","LIKELY OUT","Searched twice, no match. Do NOT use echelontileandstone.com: that is Echelon Tile and Stone, a different Tri-State fabricator and installer, and fabricator-installer fails gate 3 anyway. Echelon Masonry is an Oldcastle brand, also a different company. Needs the TISE exhibitor listing"
"Franken Schotter GmbH & Co. KG","franken-schotter.com","","Dietfurt","","DE","high","LIKELY OUT","Germany's leading Jura limestone and dolomite producer: four quarries, ~350,000 tons of raw block a year, ~2 million tonnes of product, 500+ employees. A quarry operator selling wall cladding and floor slabs. Raw stone, no pattern"
"Hanover Architectural Products","hanoverpavers.com","hanoverpaversathome.com","Hanover","PA","US","high","LIKELY OUT","American-made concrete unit pavers since 1971. Hardscape construction material specified by landscape architects. No customer-facing design step for the tool to sit on"
"i4F Patents & Technologies","i4f.com","","","","NL","high","EXCLUDE","Not a product company at all. i4F licenses a portfolio of 2,000+ patents, mainly floor locking systems, to 100+ flooring manufacturers. There is no product, no pattern and no end customer. Nothing to plug a design tool into"
"JADRANKAMEN white limestone Croatia/EU","jadrankamen.hr","","Pucisca, Brac","","HR","high","LIKELY OUT","Quarries white and semi-white marble from eleven quarries on the island of Brac and processes it at two plants. Extraction, processing, sale and installation of building stone. Quarry plus installer, two gate-3 problems"
"MIGA (Shinil Frame Co.,Ltd.)","migaworld.com","shinilframe.co.kr","Paju","","KR","high","EXCLUDE","Founded 1967, makes polystyrene moulding, frame and panel under the MIGA brand, ~100 patents, exports to 60 countries. Moulding and frame, not a flat patterned surface. Wrong medium"
"PRINTECH KR CO., LTD.","printechkr.com","","Paju","","KR","high","LIKELY OUT","Spun out of LG Chem's decopaper division in 1999 and Korea's decopaper market leader since 2004. It does print decorative pattern, on paper, under the Lovenre brand, so it is closer than most TISE rows. But it sells that paper as a raw surface material to furniture and panel makers, who choose the design. The design decision sits with their customer, not with them"
"SawMaster Diamond Tools, Inc.","sawmaster.com","","Riverside","CA","US","high","EXCLUDE","Founded 1997, family owned, makes saws, diamond blades and accessories for cutting tile, marble, masonry and concrete. Tools are an explicit S7.4 exclusion"
"Stanza International LLC.","stanzawholesale.com","","Chino Hills","CA","US","high","LIKELY OUT","Pebble tile since 2005, about 50 styles of flat, standing, polished and flower pebble mosaic. By its own description it receives its tiles directly from one of the largest manufacturers in China, so it is the importer, not the maker. Gate 3"
"Stone Factory","","","","","","unresolved","LIKELY OUT","Unresolvable by name: at least three unrelated US companies trade as The Stone Factory (thestonefactoryco.com, thestonefactory.net in Orange CT, thestonefactorypalmbeach.com), all of them stone importers or fabricators. Needs the TISE listing, and the row fails gate 3 on every candidate"
"Stoneyard LLC","stoneyard.com","","Littleton","MA","US","high","LIKELY OUT","Manufacturer of New England natural thin stone veneer, cut from real fieldstone. A genuine maker, but the medium is stone veneer for siding and walls, with no pattern to design. Worth noting they already run a Stone Visualizer, so the tooling instinct is there, wrong product"
"WILLIAM F. KEMPF & SON INC","williamkempf.com","","Folcroft","PA","US","high","FLAG criterion 2","Not stone despite the TISE hall: since 1886 this firm makes coco mats, recycled tire tiles and CUSTOM ENTRANCE MATS. A custom logo mat is genuinely a flat 2D custom product with a client approval step, so criterion 1 and 3 arguably hold and this is not an automatic drop. The question is criterion 2: whether the engine renders a coco or rubber mat usefully. Shahwaz's call, same class of question as the parked niches"
"Yellowstone Rock","yellowstonerock.com","","Idaho Falls","ID","US","high","LIKELY OUT","The largest quarrier and fabricator of domestic travertine in the US, quarries in the Greater Yellowstone area, fabrication in Idaho Falls. Quarry plus fabricator. Raw stone, no pattern"
